KADAI_CODE,TANGEN_NAME
4161403010010024,中一開講号英語
4161403020010021,中一開講号数学
4161403030010029,中一開講号国語
5001404041210023,理科１２１
5001404041220021,理科１２２
5001404041230028,理科１２３
5001404041240025,理科１２４
5001404041250022,理科１２５
5001404041260020,理科１２６
5001404041270027,理科１２７
5001404041280024,理科１２８
5001404041290021,理科１２９
5001404041300020,理科１３０
5001404041310027,理科１３１
5001404041320024,理科１３２
5001404041330021,理科１３３
5001404041340029,理科１３４
5001404041350026,理科１３５
5001404041360023,理科１３６
5001404041370021,理科１３７
5001404041380028,理科１３８
5001404041390025,理科１３９
5001404041400023,理科１４０
5001404041410021,理科１４１
5121409041420021,理科１４２
5121409041430029,理科１４３
5121409041440026,理科１４４
5121409041450023,理科１４５
5121501041460021,理科１４６
5121501041470029,理科１４７
5121501041480026,理科１４８
5121501041490023,理科１４９
5001404054210028,社会４２１
5001404054220025,社会４２２
5001404054230022,社会４２３
5001404054240020,社会４２４
5001404054250027,社会４２５
5001404054260024,社会４２６
5001404054270021,社会４２７
5001404054280029,社会４２８
5001404054290026,社会４２９
5001404054300024,社会４３０
5001404054310021,社会４３１
5001404054320029,社会４３２
5001404054330026,社会４３３
5001404054400028,社会４４０
5001404054410025,社会４４１
5001404054420022,社会４４２
5001404054430020,社会４４３
5001404054440027,社会４４４
5001404054450024,社会４４５
5001404054460021,社会４４６
5001404054470029,社会４４７
5001404054480026,社会４４８
5001404054490023,社会４４９
5011404010010126,中一４月号英語
5011404010010220,中一４月号英語
5011404010020123,中一４月号英語
5011404010020227,中一４月号英語
5011404010030121,中一４月号英語
5011404010030224,中一４月号英語
5011404010040128,中一４月号英語
5011404010040221,中一４月号英語
5011404010050125,中一４月号英語
5011404010050229,中一４月号英語
5011404010060122,中一４月号英語
5011404010060226,中一４月号英語
5011404020010123,中一４月号数学
5011404020010227,中一４月号数学
5011404030010027,中一４月号国語
5011404030020024,中一４月号国語
5011404030030021,中一４月号国語
5011404030040029,中一４月号国語
5011404030050026,中一４月号国語
5011405010010125,中一５月号英語
5011405010010229,中一５月号英語
5011405010020122,中一５月号英語
5011405010020226,中一５月号英語
5011405010030120,中一５月号英語
5011405010030223,中一５月号英語
5011405010040127,中一５月号英語
5011405010040221,中一５月号英語
5011405010050124,中一５月号英語
5011405010050228,中一５月号英語
5011405010060121,中一５月号英語
5011405010060225,中一５月号英語
5011405020010122,中一５月号数学
5011405020010226,中一５月号数学
5011405030010026,中一５月号国語
5011405030020023,中一５月号国語
5011405030030021,中一５月号国語
5011405030040028,中一５月号国語
5011405030050025,中一５月号国語
5011406010010124,中一６月号英語
5011406010010228,中一６月号英語
5011406010020121,中一６月号英語
5011406010020225,中一６月号英語
5011406010030129,中一６月号英語
5011406010030222,中一６月号英語
5011406010040126,中一６月号英語
5011406010040220,中一６月号英語
5011406010050123,中一６月号英語
5011406010050227,中一６月号英語
5011406010060121,中一６月号英語
5011406010060224,中一６月号英語
5011406020010121,中一６月号数学
5011406020010225,中一６月号数学
5011406030010025,中一６月号国語
5011406030020022,中一６月号国語
5011406030030020,中一６月号国語
5011406030040027,中一６月号国語
5011406030050024,中一６月号国語
5011407010010123,中一７月号英語
5011407010010227,中一７月号英語
5011407010020121,中一７月号英語
5011407010020224,中一７月号英語
5011407010030128,中一７月号英語
5011407010030221,中一７月号英語
5011407010040125,中一７月号英語
5011407010040229,中一７月号英語
5011407010050122,中一７月号英語
5011407010050226,中一７月号英語
5011407010060120,中一７月号英語
5011407010060223,中一７月号英語
5011407020010121,中一７月号数学
5011407020010224,中一７月号数学
5011407030010024,中一７月号国語
5011407030020021,中一７月号国語
5011407030030029,中一７月号国語
5011407030040026,中一７月号国語
5011407030050023,中一７月号国語
5011409010010121,中一９月号英語
5011409010010225,中一９月号英語
5011409010020129,中一９月号英語
5011409010020222,中一９月号英語
5011409010030126,中一９月号英語
5011409010030220,中一９月号英語
5011409010040123,中一９月号英語
5011409010040227,中一９月号英語
5011409010050121,中一９月号英語
5011409010050224,中一９月号英語
5011409010060128,中一９月号英語
5011409010060221,中一９月号英語
5011409020010129,中一９月号数学
5011409020010222,中一９月号数学
5011409030010022,中一９月号国語
5011409030020020,中一９月号国語
5011409030030027,中一９月号国語
5011409030040024,中一９月号国語
5011409030050021,中一９月号国語
5011410010010127,中一１０月号英語
5011410010010221,中一１０月号英語
5011410010020124,中一１０月号英語
5011410010020228,中一１０月号英語
5011410010030121,中一１０月号英語
5011410010030225,中一１０月号英語
5011410010040129,中一１０月号英語
5011410010040222,中一１０月号英語
5011410010050126,中一１０月号英語
5011410010050220,中一１０月号英語
5011410010060123,中一１０月号英語
5011410010060227,中一１０月号英語
5011410020010124,中一１０月号数学
5011410020010228,中一１０月号数学
5011410030010028,中一１０月号国語
5011410030020025,中一１０月号国語
5011410030030022,中一１０月号国語
5011410030040020,中一１０月号国語
5011410030050027,中一１０月号国語
